GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMPWE001,AMPWE002,AMPWE003,AMPWE004,AMPWE005,AMPWE006,AMPWE007,AMPWE008,AMPWE009,AMPWE010,NAME_M,AMPWM001,AMPWM002,AMPWM003,AMPWM004,AMPWM005,AMPWM006,AMPWM007,AMPWM008,AMPWM009,AMPWM010
"G25002707092012","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709201","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092012",,,"Block Group 2, Census Tract 7092.01, Worcester County, Massachusetts",1414,1139,99,0,0,0,0,176,0,176,"Block Group 2, Census Tract 7092.01, Worcester County, Massachusetts",397,377,114,13,13,13,13,188,13,188
"G25002707092013","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709201","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092013",,,"Block Group 3, Census Tract 7092.01, Worcester County, Massachusetts",2152,1921,37,0,0,0,116,78,1,77,"Block Group 3, Census Tract 7092.01, Worcester County, Massachusetts",441,439,45,13,13,13,187,85,2,85
"G25002707092014","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709201","4",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092014",,,"Block Group 4, Census Tract 7092.01, Worcester County, Massachusetts",1876,1724,0,0,47,0,0,105,24,81,"Block Group 4, Census Tract 7092.01, Worcester County, Massachusetts",563,542,13,13,54,13,13,113,40,105
"G25002707092031","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709203","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092031",,,"Block Group 1, Census Tract 7092.03, Worcester County, Massachusetts",496,475,0,0,21,0,0,0,0,0,"Block Group 1, Census Tract 7092.03, Worcester County, Massachusetts",246,249,13,13,34,13,13,13,13,13
"G25002707092032","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709203","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092032",,,"Block Group 2, Census Tract 7092.03, Worcester County, Massachusetts",1326,937,273,0,0,0,116,0,0,0,"Block Group 2, Census Tract 7092.03, Worcester County, Massachusetts",349,341,271,13,13,13,119,13,13,13
"G25002707092033","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709203","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092033",,,"Block Group 3, Census Tract 7092.03, Worcester County, Massachusetts",906,803,12,0,66,0,25,0,0,0,"Block Group 3, Census Tract 7092.03, Worcester County, Massachusetts",343,353,18,13,74,13,32,13,13,13
"G25002707092041","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709204","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092041",,,"Block Group 1, Census Tract 7092.04, Worcester County, Massachusetts",1017,792,0,0,0,0,225,0,0,0,"Block Group 1, Census Tract 7092.04, Worcester County, Massachusetts",576,533,13,13,13,13,181,13,13,13
"G25002707092042","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709204","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092042",,,"Block Group 2, Census Tract 7092.04, Worcester County, Massachusetts",1262,1031,36,0,0,0,195,0,0,0,"Block Group 2, Census Tract 7092.04, Worcester County, Massachusetts",720,700,55,13,13,13,219,13,13,13
"G25002707092043","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709204","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277092043",,,"Block Group 3, Census Tract 7092.04, Worcester County, Massachusetts",1371,1086,116,0,169,0,0,0,0,0,"Block Group 3, Census Tract 7092.04, Worcester County, Massachusetts",369,326,160,13,270,13,13,13,13,13
"G25002707094001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709400","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277094001",,,"Block Group 1, Census Tract 7094, Worcester County, Massachusetts",2299,1686,87,0,19,0,393,114,23,91,"Block Group 1, Census Tract 7094, Worcester County, Massachusetts",567,585,104,13,32,13,353,108,36,103
"G25002707094002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709400","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277094002",,,"Block Group 2, Census Tract 7094, Worcester County, Massachusetts",1178,795,30,0,147,0,146,60,45,15,"Block Group 2, Census Tract 7094, Worcester County, Massachusetts",431,422,176,13,251,13,140,77,73,26
"G25002707094003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709400","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277094003",,,"Block Group 3, Census Tract 7094, Worcester County, Massachusetts",1029,685,0,0,33,0,0,311,296,15,"Block Group 3, Census Tract 7094, Worcester County, Massachusetts",534,299,13,13,38,13,13,459,458,24
"G25002707095011","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709501","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277095011",,,"Block Group 1, Census Tract 7095.01, Worcester County, Massachusetts",2353,1771,55,0,5,0,203,319,187,132,"Block Group 1, Census Tract 7095.01, Worcester County, Massachusetts",439,190,50,13,8,13,199,297,283,98
"G25002707095021","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709502","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277095021",,,"Block Group 1, Census Tract 7095.02, Worcester County, Massachusetts",1099,714,130,0,103,0,64,88,47,41,"Block Group 1, Census Tract 7095.02, Worcester County, Massachusetts",302,246,139,13,125,13,74,98,78,61
"G25002707095022","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709502","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277095022",,,"Block Group 2, Census Tract 7095.02, Worcester County, Massachusetts",2791,2280,193,0,45,0,99,174,0,174,"Block Group 2, Census Tract 7095.02, Worcester County, Massachusetts",684,702,177,13,60,13,88,170,13,170
"G25002707095023","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709502","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277095023",,,"Block Group 3, Census Tract 7095.02, Worcester County, Massachusetts",2207,1625,484,0,74,0,0,24,0,24,"Block Group 3, Census Tract 7095.02, Worcester County, Massachusetts",778,661,455,13,89,13,13,39,13,39
"G25002707096001","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709600","1",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277096001",,,"Block Group 1, Census Tract 7096, Worcester County, Massachusetts",739,430,24,0,0,0,16,269,3,266,"Block Group 1, Census Tract 7096, Worcester County, Massachusetts",453,221,35,13,13,13,24,347,5,347
"G25002707096002","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709600","2",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277096002",,,"Block Group 2, Census Tract 7096, Worcester County, Massachusetts",796,739,22,0,9,0,0,26,2,24,"Block Group 2, Census Tract 7096, Worcester County, Massachusetts",271,273,24,13,14,13,13,36,4,36
"G25002707096003","2016-2020","MA",,,"Massachusetts","25","Worcester County","027",,,"709600","3",,,,,,,,,,,,,,,,,,,,,,,,,,"15000US250277096003",,,"Block Group 3, Census Tract 7096, Worcester County, Massachusetts",1056,716,240,0,0,0,0,100,12,88,"Block Group 3, Census Tract 7096, Worcester County, Massachusetts",342,287,240,13,13,13,13,92,18,91
